0.01	6.01393	1.004
10.01	3.00339	1.451
20.01	3.00134	1.168
30.01	3.00048	1.184
40.01	3.00006	1.387
50.01	2.99986	1.778
60.01	2.99985	2.193
70.01	2.99982	2.217
80.01	2.99976	2.124
90.01	2.99975	1.792
100.01	2.99968	1.945
110.01	2.99968	2.002
120.01	2.99969	1.842
130.01	2.99964	2.046
140.01	2.9996	1.934
150.01	2.99954	1.757
160.01	2.99952	1.794
170.01	2.99952	1.875
180.01	2.9995	1.802
190.01	2.9995	1.995
200.01	2.99953	2.101
210.01	2.99951	2.199
220.01	2.99953	2.097
230.01	2.99953	2.235
240.01	2.99956	2.517
250.01	2.99954	2.339
260.01	2.99952	2.094
270.01	2.99952	2.381
280.01	2.99951	2.186
290.01	2.99949	2.19
300.01	2.9995	2.212
310.01	2.99949	2.071
320.01	2.99947	1.925
330.01	2.99945	1.939
340.01	2.99947	2.067
350.01	2.99946	1.97
360.01	2.99945	1.725
370.01	2.99945	1.413
380.01	2.99945	1.424
390.01	2.99942	1.195
400.01	2.99943	1.068
410.01	2.99945	0.938
420.01	2.99944	0.974
430.01	2.99945	1.012
440.01	2.99946	1.119
450.01	2.99945	1.013
460.01	2.99944	0.812
470.01	2.99944	0.952
480.01	2.99943	0.945
490.01	2.99943	0.849
500.01	2.9994	0.767
510.01	2.99941	1.071
520.01	2.9994	0.878
530.01	2.99941	0.72
540.01	2.9994	0.615
550.01	2.99938	0.541
560.01	2.99938	0.537
570.01	2.99938	0.514
580.01	2.99936	0.595
590.01	2.99938	0.57
600.01	2.99939	0.527
610.01	2.99936	0.438
620.01	2.99933	0.452
630.01	2.99934	0.538
640.01	2.99935	0.7
650.01	2.99936	0.777
660.01	2.99937	0.841
670.01	2.99938	1.066
680.01	2.99938	1.103
690.01	2.99937	1.151
700.01	2.99937	1.196
710.01	2.99936	1.187
720.01	2.99937	1.041
730.01	2.99937	1.064
740.01	2.99937	0.85
750.01	2.99938	1.029
760.01	2.99937	1.215
770.01	2.99937	1.109
780.01	2.99937	1.237
790.01	2.99937	1.233
800.01	2.99937	1.424
810.01	2.99935	1.125
820.01	2.99935	1.208
830.01	2.99934	1.25
840.01	2.99934	1.448
850.01	2.99933	1.283
860.01	2.99933	1.434
870.01	2.99933	1.564
880.01	2.99933	1.554
890.01	2.99933	1.636
900.01	2.99933	1.651
910.01	2.99933	1.514
920.01	2.99934	1.512
930.01	2.99933	1.489
940.01	2.99934	1.351
950.01	2.99934	1.418
960.01	2.99934	1.504
970.01	2.99935	1.439
980.01	2.99935	1.418
990.01	2.99934	1.333
1000.01	2.99933	1.256
1010.01	2.99933	1.149
1020.01	2.99932	0.947
1030.01	2.99932	0.851
1040.01	2.99932	0.818
1050.01	2.99932	0.717
1060.01	2.99932	0.7
1070.01	2.99931	0.587
1080.01	2.99931	0.623
1090.01	2.99931	0.562
1100.01	2.99929	0.412
1110.01	2.99929	0.534
1120.01	2.99929	0.616
1130.01	2.99929	0.639
1140.01	2.99929	0.653
1150.01	2.9993	0.697
1160.01	2.9993	0.632
1170.01	2.99929	0.606
1180.01	2.9993	0.634
1190.01	2.99931	0.567
1200.01	2.9993	0.46
1210.01	2.9993	0.523
1220.01	2.9993	0.598
1230.01	2.99929	0.659
1240.01	2.9993	0.666
1250.01	2.99929	0.615
1260.01	2.99929	0.498
1270.01	2.99928	0.319
1280.01	2.9993	0.325
1290.01	2.9993	0.296
1300.01	2.9993	0.241
1310.01	2.99929	0.28
1320.01	2.99929	0.398
1330.01	2.99929	0.46
1340.01	2.9993	0.734
1350.01	2.9993	0.843
1360.01	2.9993	0.927
1370.01	2.99931	0.863
1380.01	2.99931	0.884
1390.01	2.9993	0.828
1400.01	2.99929	0.647
1410.01	2.99929	0.598
1420.01	2.99931	0.617
1430.01	2.99931	0.528
1440.01	2.99931	0.527
1450.01	2.99933	0.614
1460.01	2.99933	0.666
1470.01	2.99933	0.632
1480.01	2.99933	0.585
1490.01	2.99933	0.472
1500.01	2.99933	0.401
1510.01	2.99933	0.433
1520.01	2.99932	0.455
1530.01	2.99931	0.541
1540.01	2.99933	0.72
1550.01	2.99932	0.623
